epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,233.631,1.51061,1.056,0.00658,0.72241,0.62595,0.66565,0.36268,1.64601,1.31689,0.00949,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
78,236.562,1.50459,1.06718,0.00659,0.72995,0.64223,0.68833,0.37827,1.62758,1.25118,0.00957,0.0288565,0.00961885,0.0288565,0.00961885,0.0288565,0.00961885,0.0288565,0.00961885
79,239.519,1.47567,1.04116,0.00639,0.7572,0.63399,0.7093,0.38404,1.66066,1.28569,0.00978,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
80,242.462,1.51132,1.0826,0.00661,0.74276,0.66693,0.70111,0.39101,1.62668,1.26836,0.00966,0.0288269,0.00960895,0.0288269,0.00960895,0.0288269,0.00960895,0.0288269,0.00960895
81,245.433,1.47786,1.04213,0.00642,0.69964,0.658,0.69758,0.38619,1.64449,1.25241,0.00968,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
82,248.415,1.49892,1.02054,0.00632,0.75218,0.63822,0.69909,0.39085,1.65247,1.24211,0.00981,0.0287972,0.00959905,0.0287972,0.00959905,0.0287972,0.00959905,0.0287972,0.00959905
83,251.352,1.49532,1.0403,0.00659,0.78595,0.6098,0.69017,0.37643,1.63644,1.23224,0.00961,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
84,254.308,1.51427,1.01773,0.00653,0.72338,0.66468,0.70757,0.38918,1.68317,1.2621,0.00974,0.0287674,0.00958915,0.0287674,0.00958915,0.0287674,0.00958915,0.0287674,0.00958915
85,257.223,1.52217,1.04309,0.00666,0.76579,0.62372,0.70292,0.40024,1.65521,1.24026,0.00953,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
86,260.18,1.51258,1.02993,0.00649,0.70408,0.6546,0.68627,0.39308,1.64435,1.21153,0.00957,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
87,263.095,1.49117,1.0508,0.00648,0.79497,0.60113,0.69748,0.40721,1.62654,1.23372,0.00949,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
88,266.044,1.47868,1.01858,0.00643,0.74451,0.64367,0.70104,0.39135,1.62265,1.21709,0.00954,0.028708,0.00956935,0.028708,0.00956935,0.028708,0.00956935,0.028708,0.00956935
89,268.961,1.49909,1.02479,0.00646,0.77605,0.62413,0.68682,0.37788,1.67018,1.2952,0.00982,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
90,271.932,1.47557,1.01106,0.0063,0.74247,0.65917,0.70644,0.39061,1.63514,1.23634,0.00969,0.0286784,0.00955945,0.0286784,0.00955945,0.0286784,0.00955945,0.0286784,0.00955945
91,274.897,1.45938,0.97153,0.0063,0.71458,0.6709,0.7003,0.38994,1.65404,1.23475,0.00959,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
92,277.821,1.48942,1.05491,0.00652,0.77613,0.64265,0.69445,0.38659,1.63377,1.24136,0.00957,0.0286486,0.00954955,0.0286486,0.00954955,0.0286486,0.00954955,0.0286486,0.00954955
93,280.753,1.46747,0.9969,0.00645,0.75255,0.59559,0.68698,0.39439,1.65426,1.25292,0.00955,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
94,283.705,1.45334,0.97161,0.00643,0.74481,0.6454,0.69824,0.39278,1.65013,1.21668,0.0096,0.028619,0.00953965,0.028619,0.00953965,0.028619,0.00953965,0.028619,0.00953965
95,286.64,1.43918,0.98096,0.0064,0.74688,0.6375,0.69625,0.39684,1.64167,1.20078,0.00966,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
96,289.547,1.44474,0.97162,0.00642,0.7614,0.62571,0.68684,0.39232,1.63537,1.2615,0.00953,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975
97,292.496,1.44538,0.96141,0.00635,0.7362,0.64794,0.69655,0.39319,1.6433,1.25599,0.00955,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
98,295.434,1.46666,0.96527,0.0066,0.77065,0.60144,0.67839,0.38166,1.6478,1.27464,0.00946,0.0285595,0.00951985,0.0285595,0.00951985,0.0285595,0.00951985,0.0285595,0.00951985
99,298.334,1.46558,0.96903,0.00666,0.79022,0.62829,0.69784,0.39318,1.63487,1.24176,0.00942,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
100,301.261,1.45441,0.98515,0.00662,0.72948,0.65824,0.69947,0.39335,1.64568,1.19878,0.00948,0.0285298,0.00950995,0.0285298,0.00950995,0.0285298,0.00950995,0.0285298,0.00950995
101,304.249,1.45034,0.96722,0.00618,0.71604,0.64462,0.68464,0.3879,1.64312,1.20294,0.00942,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
102,307.167,1.44883,0.97826,0.00626,0.7688,0.61651,0.69362,0.40292,1.59334,1.19573,0.00923,0.0285001,0.00950005,0.0285001,0.00950005,0.0285001,0.00950005,0.0285001,0.00950005
103,310.076,1.43959,0.94276,0.00631,0.7439,0.61844,0.70412,0.40329,1.60028,1.22071,0.00927,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
104,313.007,1.40545,0.94303,0.00631,0.7268,0.62115,0.6888,0.3911,1.62808,1.22225,0.00948,0.0284705,0.00949015,0.0284705,0.00949015,0.0284705,0.00949015,0.0284705,0.00949015
105,315.957,1.43168,0.97383,0.00633,0.75955,0.59859,0.68994,0.38799,1.67185,1.22567,0.00971,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
106,318.872,1.47468,0.97192,0.00615,0.73668,0.66736,0.70611,0.40033,1.64251,1.27239,0.00955,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025
107,321.808,1.4887,0.96752,0.00601,0.71993,0.62165,0.67552,0.38041,1.65928,1.27081,0.00955,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
108,324.743,1.43435,0.96023,0.00604,0.75583,0.61407,0.66592,0.38443,1.6459,1.27697,0.00952,0.028411,0.00947035,0.028411,0.00947035,0.028411,0.00947035,0.028411,0.00947035
109,327.718,1.42084,0.91436,0.00612,0.73278,0.6299,0.68206,0.39582,1.63091,1.24297,0.0093,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
110,330.671,1.46051,0.96991,0.00612,0.77752,0.61852,0.67968,0.40174,1.65473,1.25637,0.00951,0.0283813,0.00946045,0.0283813,0.00946045,0.0283813,0.00946045,0.0283813,0.00946045
111,333.675,1.45202,0.93981,0.00635,0.73726,0.64378,0.68958,0.40261,1.63875,1.23649,0.00948,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
112,336.605,1.43555,0.94356,0.00627,0.76352,0.63217,0.70377,0.39414,1.65324,1.25397,0.0096,0.0283516,0.00945055,0.0283516,0.00945055,0.0283516,0.00945055,0.0283516,0.00945055
113,339.538,1.44213,0.93593,0.00629,0.71552,0.65388,0.68116,0.38319,1.6724,1.2657,0.00988,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
114,342.476,1.44352,0.91416,0.00632,0.73237,0.62263,0.65512,0.37362,1.6416,1.28796,0.00965,0.0283219,0.00944065,0.0283219,0.00944065,0.0283219,0.00944065,0.0283219,0.00944065
115,345.415,1.42839,0.92578,0.00606,0.73083,0.65788,0.69482,0.39232,1.61959,1.27548,0.0094,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
116,348.349,1.45359,0.93534,0.00615,0.71589,0.62886,0.65659,0.37748,1.62745,1.33092,0.0096,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075
117,351.279,1.41142,0.90365,0.00605,0.73819,0.61516,0.68595,0.38703,1.64949,1.28455,0.00955,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
118,354.208,1.45812,0.9349,0.00629,0.73235,0.6253,0.68139,0.38182,1.63926,1.29766,0.00948,0.0282625,0.00942085,0.0282625,0.00942085,0.0282625,0.00942085,0.0282625,0.00942085
119,357.118,1.40779,0.91193,0.00622,0.73526,0.6099,0.67989,0.38608,1.65056,1.29284,0.00959,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
120,360.079,1.40756,0.8949,0.00607,0.73193,0.65178,0.69722,0.391,1.63745,1.25119,0.00971,0.0282329,0.00941095,0.0282329,0.00941095,0.0282329,0.00941095,0.0282329,0.00941095
121,363.033,1.41106,0.92545,0.00609,0.71317,0.6636,0.69991,0.39719,1.63792,1.24123,0.00953,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
122,365.969,1.38355,0.88671,0.00612,0.69664,0.68524,0.69052,0.39711,1.63458,1.19768,0.0095,0.0282031,0.00940105,0.0282031,0.00940105,0.0282031,0.00940105,0.0282031,0.00940105
123,368.904,1.42651,0.89462,0.00589,0.72166,0.63932,0.70075,0.39388,1.64115,1.23294,0.00958,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
124,371.835,1.41524,0.89658,0.00594,0.75273,0.62912,0.7148,0.40373,1.66021,1.21079,0.00979,0.0281734,0.00939115,0.0281734,0.00939115,0.0281734,0.00939115,0.0281734,0.00939115
125,374.774,1.43878,0.93505,0.00592,0.76461,0.6204,0.70289,0.40372,1.63306,1.2056,0.00935,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
126,377.696,1.39384,0.90841,0.00603,0.74223,0.63738,0.69361,0.39578,1.64791,1.25317,0.00953,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
127,380.644,1.4221,0.91517,0.0059,0.72699,0.64325,0.69698,0.39848,1.6242,1.24055,0.00949,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
128,383.552,1.40014,0.87707,0.00602,0.74771,0.66051,0.69467,0.39716,1.64864,1.2325,0.00953,0.0281141,0.00937135,0.0281141,0.00937135,0.0281141,0.00937135,0.0281141,0.00937135
129,386.478,1.39055,0.86691,0.00583,0.72928,0.66472,0.68616,0.40097,1.63091,1.23377,0.00951,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
